author,total,positive_ratio,negative_ratio,top_keywords,avg_score
刘克庄,269,0.27137546468401486,0.5390334572490706,"[('笑', 9), ('凄凉', 8), ('愁', 7), ('叹', 6), ('老去', 4)]",0.7185873605947954
刘辰翁,354,0.18926553672316385,0.6694915254237288,"[('恨', 22), ('愁', 20), ('寂寞', 16), ('憔悴', 14), ('叹', 10)]",0.7372881355932204
史浩,182,0.8406593406593407,0.0989010989010989,"[('多谢', 10), ('愿花长在', 10), ('人长寿', 10), ('清歌', 5), ('蓬莱', 3)]",0.8120879120879122
向子諲,176,0.4772727272727273,0.32386363636363635,"[('愁', 14), ('风流', 8), ('醉', 7), ('恨', 7), ('相思', 5)]",0.7426136363636363
吴文英,341,0.15835777126099707,0.6862170087976539,"[('愁', 37), ('恨', 18), ('怨', 14), ('凄凉', 14), ('相思', 14)]",0.7407624633431085
吴潜,256,0.27734375,0.55859375,"[('愁', 11), ('寂寞', 7), ('憔悴', 5), ('凄凉', 5), ('悠悠', 5)]",0.73125
周邦彦,186,0.16129032258064516,0.7526881720430108,"[('愁', 22), ('恨', 9), ('相思', 6), ('憔悴', 6), ('别离', 6)]",0.7661290322580645
张元干,185,0.42162162162162165,0.4702702702702703,"[('愁', 12), ('醉', 7), ('老去', 5), ('断肠', 4), ('恨', 3)]",0.7610810810810812
张先,165,0.3090909090909091,0.5757575757575758,"[('相思', 12), ('恨', 12), ('愁', 11), ('怨', 5), ('多情', 2)]",0.750909090909091
张孝祥,224,0.5089285714285714,0.32589285714285715,"[('明月', 5), ('断肠', 5), ('相思', 5), ('清愁', 5), ('愁', 5)]",0.7491071428571429
张炎,302,0.15894039735099338,0.6026490066225165,"[('愁', 27), ('相思', 16), ('飘零', 15), ('凄凉', 13), ('叹', 8)]",0.7096026490066225
无名氏,1568,0.5727040816326531,0.3207908163265306,"[('愁', 40), ('清香', 27), ('风流', 23), ('恨', 22), ('相思', 19)]",0.7834183673469388
晁补之,167,0.32934131736526945,0.5568862275449101,"[('愁', 11), ('恨', 9), ('惆怅', 5), ('肠断', 4), ('笑', 4)]",0.7485029940119761
晏几道,260,0.15384615384615385,0.7384615384615385,"[('相思', 21), ('恨', 21), ('愁', 17), ('断肠', 9), ('凄凉', 8)]",0.7303846153846153
曹勋,183,0.6939890710382514,0.18032786885245902,"[('喜', 11), ('愁', 6), ('芬芳', 4), ('乘兴', 4), ('芳菲', 4)]",0.7748633879781421
朱敦儒,246,0.3821138211382114,0.4796747967479675,"[('愁', 22), ('凄凉', 9), ('泪', 7), ('醉', 6), ('寂寞', 5)]",0.7674796747967482
李曾伯,202,0.48514851485148514,0.3069306930693069,"[('怅', 7), ('笑', 6), ('喜', 5), ('愁', 5), ('春风', 4)]",0.7272277227722772
杨无咎,177,0.5028248587570622,0.3728813559322034,"[('和气', 6), ('风流', 6), ('喜', 6), ('恨', 5), ('欢声', 5)]",0.7638418079096044
柳永,213,0.352112676056338,0.6197183098591549,"[('憔悴', 11), ('寂寞', 9), ('风流', 7), ('断肠', 6), ('泪眼', 6)]",0.8215962441314555
欧阳修,242,0.2768595041322314,0.6322314049586777,"[('愁', 17), ('相思', 13), ('恨', 12), ('离愁', 6), ('惆怅', 6)]",0.7698347107438017
毛滂,204,0.4411764705882353,0.4019607843137255,"[('愁', 9), ('春', 7), ('春风', 5), ('醉', 5), ('凄凉', 4)]",0.736764705882353
王之道,186,0.6290322580645161,0.24731182795698925,"[('恨', 6), ('笑', 5), ('笑语', 4), ('喜', 3), ('香', 3)]",0.7596774193548388
苏轼,362,0.3314917127071823,0.4585635359116022,"[('愁', 11), ('恨', 7), ('泪', 7), ('相思', 6), ('笑', 6)]",0.7232044198895027
蔡伸,175,0.22857142857142856,0.7085714285714285,"[('断肠', 11), ('恨', 10), ('凄凉', 10), ('肠断', 10), ('愁', 8)]",0.7908571428571427
贺铸,282,0.1773049645390071,0.7127659574468085,"[('恨', 25), ('愁', 21), ('肠断', 7), ('伤春', 7), ('可怜', 6)]",0.74822695035461
赵长卿,339,0.30383480825958703,0.6135693215339233,"[('愁', 18), ('凄凉', 15), ('相思', 12), ('寂寞', 10), ('憔悴', 10)]",0.7707964601769912
辛弃疾,629,0.3338632750397456,0.5182829888712241,"[('愁', 46), ('恨', 30), ('风流', 24), ('笑', 20), ('相思', 12)]",0.7365659777424484
陈允平,209,0.215311004784689,0.6746411483253588,"[('愁', 26), ('恨', 20), ('寂寞', 15), ('相思', 14), ('憔悴', 12)]",0.7622009569377991
韩淲,197,0.39086294416243655,0.3604060913705584,"[('愁', 11), ('醉', 8), ('相思', 5), ('恨', 5), ('断肠', 4)]",0.7101522842639593
魏了翁,189,0.48677248677248675,0.2857142857142857,"[('春风', 6), ('风流', 5), ('富贵', 5), ('叹', 5), ('笑', 4)]",0.7132275132275133
黄庭坚,192,0.3489583333333333,0.53125,"[('愁', 14), ('恨', 5), ('憔悴', 5), ('风流', 4), ('醉', 4)]",0.7468749999999998
